effect,term,b,LL,UL,SE,t,df,p
fixed,Intercept,0.8529887733926254,0.8377183099323634,0.8682592368528873,0.00773700464337939,110.24793349743352,173.99409986784121,6.405630011552923e-163
fixed,rn,0.03968568289925648,0.028060035726603275,0.05131133007190969,0.005890604050690572,6.73711601692258,175.2650020919195,2.2345845824474452e-10
fixed,inhib,0.052172158610434505,0.03848724905669524,0.06585706816417376,0.006934375443312512,7.523699724212244,176.59432537099678,2.605442830771157e-12
fixed,wm,0.011278398755969884,0.00139130890344317,0.021165488608496597,0.0050094393200275774,2.251429358746638,173.99409804002272,0.025609422346266182
fixed,gf,0.027597277194381053,0.015862883365674853,0.03933167102308725,0.005945403017247832,4.641784100139274,173.99409753409086,6.776890286198605e-6
fixed,gc,0.004663757252530398,-0.0024349354809591345,0.01176244998601993,0.003596656956721033,1.2966922641358072,173.99409795592612,0.1964541072051569
fixed,ic,-7.05693769324429e-4,-0.01246447850252051,0.011053090963871652,0.00595776102738822,-0.11844949236471693,173.99409781089645,0.9058481486979849
fixed,rn * inhib,-0.01300132729280372,-0.03316783230711833,0.007165177721510889,0.010277936617583869,-1.2649744570870942,1103.4817678619684,0.20614755220515812
fixed,rn * wm,4.941497497768989e-4,-0.007033049308581365,0.008021348808135162,0.003813959653687497,0.1295634444635863,175.2650026525284,0.8970603982903056
fixed,inhib * wm,-0.009151107729117898,-0.018011607001247737,-2.90608456988058e-4,0.004489765045609338,-2.038215282126403,176.59432477039877,0.04301982221362781
fixed,rn * gf,3.346843432904192e-6,-0.0089302341692051,0.00893692785607091,0.004526559917002832,7.393790194475621e-4,175.26500244234205,0.9994109018412207
fixed,inhib * gf,0.002992450889546489,-0.007523544163292033,0.013508445942385011,0.005328632795726166,0.5615794903237817,176.59432473991785,0.5751145503101409
fixed,rn * gc,2.62745220183464e-4,-0.005141602677547126,0.005667093117914055,0.0027383313071078124,0.09595085134565834,175.26500252968253,0.9236692300474735
fixed,inhib * gc,-6.334065089089586e-4,-0.006995031894735806,0.005728218876917888,0.00322354332565201,-0.19649387178031574,176.59432483513578,0.8444495736577231
fixed,rn * ic,-0.001764753043475503,-0.010716903240412223,0.007187397153461217,0.004535968744830586,-0.3890575845538404,175.26500262600118,0.6977058197442016
fixed,inhib * ic,-0.0028535942155476874,-0.013391447630695563,0.0076842591996001885,0.0053397087981323236,-0.5344100817905637,176.5943248520005,0.5937300029048129
fixed,rn * inhib * wm,-5.475410361689385e-4,-0.013604646185093336,0.01250956411275546,0.006654603712165421,-0.08228003647579604,1103.481767020268,0.9344389509306117
fixed,rn * inhib * gf,-0.0029323956575650297,-0.01842909047501395,0.012564299159883892,0.007897949942365676,-0.3712856727332825,1103.4817662388073,0.7104960401895674
fixed,rn * inhib * gc,0.002247490912194973,-0.007127196566461403,0.01162217839085135,0.0047778454247149995,0.4703984144336434,1103.481766274132,0.6381633545131733
fixed,rn * inhib * ic,8.323582471648502e-4,-0.014696547727557423,0.016361264221887124,0.007914366482202229,0.10517054637748346,1103.48176685265,0.9162595949330145
