ss,sex,age,list,ACC_VerbalAnalogy,RT_VerbalAnalogy,VerbalAnalogy_OverallACC,VerbalAnalogy_OverallRT,Far_High_ACC,Far_High_RT,Far_Low_ACC,Far_Low_RT,Near_High_ACC,Near_High_RT,Near_Low_ACC,Near_Low_RT,BPIndex,BP_Trial1,BP_Intrusions,VisACC,VisRT_total,VisRT_correct,Vis_1rc_inhib_ACC,Vis_1rc_non_ACC,Vis_2rc_inhib_ACC,Vis_2rc_non_ACC,Vis_1rc_inhib_RT_total,Vis_1rc_non_RT_total,Vis_2rc_inhib_RT_total,Vis_2rc_non_RT_total,Vis_1rc_inhib_RT_correct,Vis_1rc_non_RT_correct,Vis_2rc_inhib_RT_correct,Vis_2rc_non_RT_correct,Vis_invalid_1rc_ACC,Vis_invalid_2rc_ACC,Vis_invalid_1rc_RT_correct,Vis_invalid_2rc_RT_correct,Vis_invalid_1rc_RT_total,Vis_invalid_2rc_RT_total,Vis_1rc_dp,Vis_2rc_dp,Vis_1rc_inhib_dp,Vis_1rc_non_dp,Vis_2rc_inhib_dp,Vis_2rc_non_dp,Vis_1rc_hit,Vis_2rc_hit,Vis_1rc_inhib_hit,Vis_1rc_non_hit,Vis_2rc_inhib_hit,Vis_2rc_non_hit,Vis_1rc_FA,Vis_2rc_FA,AQ,AttenSwitch,Comm,DetailAttn,Imagination,SocialSkills,WM,OSpan,RSpan,NumberSeries,RAPM,GenKnow,TextComp,ShipleyVocab
1010,1,20,green1,0.72,2456,0.72,2456,0.67,3187.8,0.87,2438.77,0.6,1937,0.73,2259,0.64,0.7,0,0.659722222,2057.055556,2273.378947,0.541666667,0.708333333,0.708333333,0.833333333,1951.75,2054.25,2048.583333,1688.416667,2158.384615,2121.882353,2320.823529,1906.8,0.583333333,0.583333333,2978.5,2325.071429,2469.791667,2129.541667,0.529067758,0.952022438,0.31506185,0.758950677,0.758950677,1.17784996,0.625,0.770833333,0.541666667,0.708333333,0.708333333,0.833333333,0.416666667,0.416666667,NA,NA,NA,NA,NA,NA,0.16,0.066666667,0.253333333,0.27,0.222222222,0.125,0.2,0.475
1015,2,28,blue2,0.75,2821,0.75,2821,0.53,2964,0.87,2980,0.73,2789.82,0.87,2551.54,0.33,0.9,1,0.854166667,4041.5625,3827.894309,0.958333333,0.916666667,0.75,0.916666667,3146.875,3091.791667,5257.458333,4866.208333,2887.086957,3041.363636,4929.111111,4788.090909,0.791666667,0.791666667,3072.157895,4478.157895,3056.416667,4830.625,2.346338346,1.779639368,2.543882198,2.195211929,1.486707552,2.195211929,0.9375,0.833333333,0.958333333,0.916666667,0.75,0.916666667,0.208333333,0.208333333,20,7,1,8,1,3,0.89,0.853333333,0.933333333,0.87,0.611111111,0.458333333,0.4,0.8
1016,2,19,green2,0.75,5584,0.75,5747,0.53,6116.88,0.73,6520.09,0.8,4405,0.93,5296,0.45,0.65,0,0.527777778,4148.881944,3630.289474,0.541666667,0.375,0.541666667,0.583333333,3239.166667,3775.708333,4071.458333,5142.666667,3634.769231,3826.111111,3950.076923,4767.142857,0.5,0.625,2866.083333,2782.066667,4309.333333,4354.958333,-0.104633456,0.475950049,0.104633456,-0.318639364,0.42327282,0.529067758,0.458333333,0.5625,0.541666667,0.375,0.541666667,0.583333333,0.5,0.375,16,4,2,8,1,1,0.46,0.293333333,0.626666667,0.4,0.277777778,0.291666667,0.266666667,0.5
1020,1,18,green1,0.67,1264,0.67,1264,0.4,1352.17,0.87,1235.23,0.67,1216,0.73,1254,NA,NA,NA,0.486111111,2979.409722,2762.785714,0.5,0.541666667,0.583333333,0.458333333,2772.041667,3000.083333,2926.083333,2840.666667,3285.166667,3488.538462,2473.214286,1952.727273,0.458333333,0.375,2821,2387.333333,3076.625,3260.958333,-0.052388275,-0.266394184,-0.104633456,-2.78e-16,-0.10821097,-0.42327282,0.520833333,0.520833333,0.5,0.541666667,0.583333333,0.458333333,0.541666667,0.625,30,5,8,7,4,6,0.63,0.693333333,0.56,0.4,0.277777778,0.25,0.2,0.6
1022,1,23,green2,0.72,3397,0.72,3397,0.6,4124,0.67,3373,0.8,3312,0.8,2779,0.4,0.5,0,0.854166667,6333.430556,6069.00813,0.875,0.958333333,0.833333333,0.791666667,4348.375,5932.25,8298.875,7189.875,3977.952381,6043.217391,8568.25,7015.263158,0.875,0.791666667,4497.142857,6571.684211,4962.291667,7268.916667,2.533343507,1.699364361,2.300698761,2.882013776,1.779639368,1.624435603,0.916666667,0.8125,0.875,0.958333333,0.833333333,0.791666667,0.125,0.208333333,31,6,6,7,5,7,0.57,0.56,0.573333333,0.47,0.166666667,0.666666667,0.533333333,0.825
1025,2,21,green1,0.92,3493,0.92,3596,0.93,3906.86,0.87,4080.85,0.87,2941,1,3043,0.43,0.7,1,0.784722222,3933.451389,3884,0.75,0.875,0.625,0.75,2829.166667,3445.083333,4482.25,5021.125,2779.944444,3407.904762,4400.8,5338.222222,0.916666667,0.791666667,2943.363636,4759.631579,3085.166667,4737.916667,2.270140686,1.300994213,2.057483877,2.533343507,1.130857165,1.486707552,0.8125,0.6875,0.75,0.875,0.625,0.75,0.083333333,0.208333333,19,6,3,7,0,3,0.53,0.52,0.533333333,0.4,0.444444444,0.416666667,0.6,0.7
1026,2,24,yellow1,0.88,4390,0.88,4390,0.87,4719.62,1,3601.87,0.93,4451,0.73,4787,0.56,0.7,5,0.833333333,4059.451389,3843.641667,0.75,0.916666667,0.791666667,0.833333333,2865.25,3267.666667,4751.25,4587.041667,2523.444444,2970.181818,4616.368421,4466.45,0.916666667,0.791666667,3738.227273,4799.473684,4040.666667,4844.833333,2.350415693,1.699364361,2.057483877,2.765988254,1.624435603,1.779639368,0.833333333,0.8125,0.75,0.916666667,0.791666667,0.833333333,0.083333333,0.208333333,10,3,1,5,1,0,0.83,0.853333333,0.813333333,0.4,0.555555556,0.333333333,0.533333333,0.65
1032,1,22,green1,0.88,3048,0.88,3048,0.87,3210,0.87,3579,0.87,2685,0.93,2720,0.25,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,2,6,2,5,0.89,0.866666667,0.92,NA,0.5,NA,NA,NA
1102,1,21,yellow2,0.93,3288,0.93,3288,0.93,3701,0.93,3381,0.87,2331,1,3737,0.083333333,0.6,2,0.868055556,3453.993056,3448.024,0.833333333,0.958333333,0.75,1,2464,2589.916667,4733.625,3917,2469.85,2623.826087,4764.611111,3917,0.875,0.791666667,3101.904762,4018.263158,2939.75,4079.666667,2.408510941,1.962567182,2.117770946,2.882013776,1.486707552,2.849051933,0.895833333,0.875,0.833333333,0.958333333,0.75,1,0.125,0.208333333,24,7,4,4,3,6,0.83,0.76,0.893333333,0.67,0.833333333,0.375,0.533333333,0.825
1109,1,18,red2,0.88,3090,0.88,3090,0.67,3444,1,3137,0.87,3076.92,1,2701.27,0.17,0.65,4,0.659722222,1804.590278,1994.389474,0.625,0.75,0.791666667,0.791666667,1736.666667,1390.375,1954.291667,2171.125,2011.8,1428.444444,1877.526316,2160.578947,0.541666667,0.458333333,2046.692308,2749.727273,1383.875,2191.208333,0.593409867,0.707584346,0.42327282,0.779123206,0.707584346,0.707584346,0.6875,0.791666667,0.625,0.75,0.791666667,0.791666667,0.458333333,0.541666667,23,6,5,6,2,4,0.63,0.866666667,0.4,0.73,0.277777778,0.458333333,0.266666667,0.575
1116,2,21,blue2,0.85,4235,0.85,4235,0.6,4836,1,4084,0.87,4648,0.93,3373.86,0.45,0.65,5,0.916666667,4753.083333,4765.94697,0.833333333,1,0.875,0.958333333,3924.958333,3525.708333,5701.208333,5504.333333,3995.1,3525.708333,5466.333333,5604.086957,0.916666667,0.916666667,3985.136364,6055.727273,3882.5,5979.791667,2.765988254,2.765988254,2.350415693,3.419828259,2.533343507,3.114658523,0.916666667,0.916666667,0.833333333,1,0.875,0.958333333,0.083333333,0.083333333,11,3,2,3,2,1,0.63,0.666666667,0.586666667,0.6,0.611111111,0.458333333,0.333333333,0.625
1119,1,23,red2,0.9,6044,0.9,6044,0.8,6706,0.87,6733,1,5885,0.93,4850,0.214285714,0.7,3,0.951388889,3194.409722,3184.20438,0.958333333,1,1,1,2481.458333,2324.958333,3916.208333,4190.291667,2507.782609,2324.958333,3916.208333,4190.291667,0.875,0.875,2589.285714,3515.571429,2542.833333,3710.708333,3.187183512,3.461340719,2.882013776,3.187183512,3.187183512,3.187183512,0.979166667,1,0.958333333,1,1,1,0.125,0.125,13,3,2,3,2,3,0.82,0.853333333,0.786666667,0.53,0.666666667,0.541666667,0.733333333,0.775
