ss,sex,age,bp_index,bp_trial1,bp_intrusions,verbgen_ir,ospan,rspan,num_series,rapm,gen_know,text_comp,shipley_vocab
1010,1,20,0.64,0.7,0,-39,0.066666667,0.253333333,0.27,0.222222222,0.125,0.2,0.475
1015,2,28,0.33,0.9,1,396,0.853333333,0.933333333,0.87,0.611111111,0.458333333,0.4,0.8
1016,2,19,0.45,0.65,0,484,0.293333333,0.626666667,0.4,0.277777778,0.291666667,0.266666667,0.5
1020,1,18,NA,NA,NA,114,0.693333333,0.56,0.4,0.277777778,0.25,0.2,0.6
1022,1,23,0.4,0.5,0,12.5,0.56,0.573333333,0.47,0.166666667,0.666666667,0.533333333,0.825
1025,2,21,0.43,0.7,1,111,0.52,0.533333333,0.4,0.444444444,0.416666667,0.6,0.7
1026,2,24,0.56,0.7,5,429,0.853333333,0.813333333,0.4,0.555555556,0.333333333,0.533333333,0.65
1032,1,22,0.25,0.6,1,-26,0.866666667,0.92,NA,0.5,NA,NA,NA
1102,1,21,0.083333333,0.6,2,NA,0.76,0.893333333,0.67,0.833333333,0.375,0.533333333,0.825
1109,1,18,0.17,0.65,4,-32,0.866666667,0.4,0.73,0.277777778,0.458333333,0.266666667,0.575
1116,2,21,0.45,0.65,5,636,0.666666667,0.586666667,0.6,0.611111111,0.458333333,0.333333333,0.625
1119,1,23,0.214285714,0.7,3,590,0.853333333,0.786666667,0.53,0.666666667,0.541666667,0.733333333,0.775
1124,2,21,0.42,0.7,3,427,0.666666667,0.413333333,0.33,0.277777778,0.416666667,0,0.625
1128,2,39,0.21,0.7,3,909,0.84,0.84,0.6,0.444444444,0.5,0.4,0.7
1132,2,19,0.36,0.85,3,-141,0.573333333,0.52,0.6,0.444444444,0.416666667,0.466666667,0.8
1137,2,18,0.33,0.65,1,39,0.76,0.693333333,NA,0.555555556,0.416666667,0.333333333,0.675
1161,2,20,0.7,0.85,2,167,0.76,0.066666667,0.33,0.111111111,0.25,0.133333333,0.625
1201,2,19,0.79,0.7,2,-2,0.853333333,0.133333333,0.53,0.444444444,0.458333333,0.666666667,0.575
1204,2,49,0.62,0.65,1,85,0.666666667,0.866666667,0.47,0.555555556,0.666666667,0.866666667,0.825
1212,1,17,0.066666667,0.75,2,325,0.88,0.426666667,0.87,0.611111111,0.541666667,0.533333333,0.625
