effect,term,b,LL,UL,SE,t,df,p
fixed,Intercept,3513.1839530249845,3348.4157093784675,3677.9521966715015,83.47906622745872,42.08461009197771,173.05136818146732,7.979112794737334e-93
fixed,rn,1567.8809038612817,1447.422327585914,1688.3394801366494,61.0203845040801,25.69437928986577,169.3493593135628,2.54270238280182e-60
fixed,inhib,102.24316731620337,49.06021105590223,155.4261235765045,27.132367470415367,3.7683098398135524,14326.234733705844,1.6501550222305326e-4
fixed,wm,27.98851631312327,-78.76343823284144,134.74047085908796,54.08641267146422,0.517477771785924,173.52072673168777,0.6054817367586884
fixed,gf,4.393432938501888,-122.22035162544793,131.0072175024517,64.14827327244413,0.06848871706713819,173.0462836044638,0.9454756754357908
fixed,gc,12.877542750121338,-63.67040784649039,89.42549334673306,38.78197624688467,0.3320496786482299,172.6166272237848,0.7402545908438432
fixed,ic,-134.34802920527991,-261.2757360696771,-7.420322340882677,64.30805408308615,-2.089132242000387,173.32706055496408,0.038156361130962546
fixed,rn * inhib,98.57429386447608,-7.754084176110169,204.90267190506233,54.24559208697382,1.817185324596117,14345.405275328896,0.06920959586831565
fixed,rn * wm,74.7982247028838,-3.567891984789128,153.16434139055673,39.70313519642881,1.8839374858641313,172.62270666487615,0.061254734471416966
fixed,inhib * wm,-1.819688476966998,-37.03276303431189,33.3933860803779,17.96466612380274,-0.10129264103360962,14321.629155245768,0.9193195757237871
fixed,rn * gf,61.54411977713199,-30.980571173218145,154.06881072748212,46.869088710794145,1.3131068145337788,168.89825386752625,0.19092816285853303
fixed,inhib * gf,16.300670430363642,-24.350917101261313,56.95225796198859,20.739234198624054,0.7859822727420239,14322.253378815383,0.43189087578397556
fixed,rn * gc,69.2509578079531,13.507441178312966,124.99447443759323,28.234059231164938,2.4527453612307166,166.2507741568174,0.015210028163213797
fixed,inhib * gc,-12.022462171648959,-36.16729021634668,12.122365873048762,12.317975041837338,-0.9760096225893716,14321.279182059689,0.3290761814051235
fixed,rn * ic,-25.19911980915135,-118.1570798247249,67.75884020642219,47.091865752139455,-0.535105573047008,170.55531970544757,0.5932738404109968
fixed,inhib * ic,-3.7452759822393697,-44.91620855689081,37.42565659241207,21.004188756856113,-0.17831090862849203,14323.233603857965,0.8584813340040695
fixed,rn * inhib * wm,-13.502370446334965,-83.88975933389636,56.885018441226435,35.90956409508717,-0.3760104247041595,14350.782180188153,0.7069147041423961
fixed,rn * inhib * gf,-12.418821964450638,-93.69832772234334,68.86068379344205,41.466396934026335,-0.29949122380247245,14338.267990836095,0.7645696083246524
fixed,rn * inhib * gc,25.735022111601292,-22.54398208614243,74.01402630934501,24.630517591773348,1.0448429277100069,14333.584569492563,0.2961131910296965
fixed,rn * inhib * ic,-28.946541818292374,-111.25571275254657,53.36262911596182,41.99170326107187,-0.6893395497278405,14344.925325255308,0.490620764815918
