effect,term,b,LL,UL,SE,t,df,p
fixed,Intercept,1.6330580384757796,1.5331397945604341,1.732976282391125,0.050625058152181865,32.257899508316854,173.99999919661047,2.495534576163109e-75
fixed,rn,0.38935545811939615,0.3097222181386227,0.4689886981001696,0.040347360472767275,9.650085000782003,174.0000003369166,6.4433666096669255e-18
fixed,wm,0.12172507329057393,0.05703151254891892,0.18641863403222894,0.03277795071549061,3.713626710441284,173.99999932987592,2.749286152253144e-4
fixed,gf,0.23825000629995807,0.1614690999630478,0.31503091263686833,0.03890218338486647,6.12433507762037,173.99999923032016,5.89261233474691e-9
fixed,gc,0.07044336292537794,0.023994942167502392,0.11689178368325348,0.023533780316811678,2.9932871802604426,173.99999920593953,0.003161661100995013
fixed,ic,-0.019568901736390587,-0.09650940351479464,0.05737160004201347,0.038983044779016617,-0.5019849487724963,173.9999992148298,0.6163127295643559
fixed,rn * wm,0.01856558262030901,-0.032994149075368275,0.07012531431598629,0.026123501707414804,0.7106850692623424,174.0000003375298,0.4782309172256113
fixed,rn * gf,0.03536372856259524,-0.025829423965755646,0.09655688109094612,0.03100441705150438,1.140602918089032,174.00000033719928,0.25560269920193096
fixed,rn * gc,-0.019141012971575323,-0.05615966033766498,0.017877634394514338,0.01875604596591244,-1.0205249553324047,174.00000033768362,0.308896370801207
fixed,rn * ic,-0.0214809186732423,-0.08280126621213818,0.03983942886565357,0.031068862287464295,-0.6913970159090586,174.00000033736933,0.4902375213517337
