ss,proc,rc,inhib,validity,acc,rt
1020,VisualAnalogy,1,yes,valid,0,1098
1020,VisualAnalogy,1,yes,invalid,0,4656
1020,VisualAnalogy,1,yes,valid,0,2464
1020,VisualAnalogy,1,yes,invalid,1,4234
1020,VisualAnalogy,2,no,valid,1,2884
1020,VisualAnalogy,2,no,valid,1,2721
1020,VisualAnalogy,2,yes,valid,0,3965
1020,VisualAnalogy,1,yes,invalid,1,5570
1020,VisualAnalogy,2,yes,invalid,0,5946
1020,VisualAnalogy,1,no,valid,1,2413
1020,VisualAnalogy,2,no,valid,0,3068
1020,VisualAnalogy,2,no,valid,1,894
1020,VisualAnalogy,1,yes,invalid,1,3868
1020,VisualAnalogy,1,yes,valid,1,3534
1020,VisualAnalogy,1,yes,invalid,0,4061
1020,VisualAnalogy,2,no,valid,0,3368
1020,VisualAnalogy,1,no,valid,1,4519
1020,VisualAnalogy,1,no,valid,0,3932
1020,VisualAnalogy,2,yes,valid,1,2876
1020,VisualAnalogy,2,yes,valid,0,2888
1020,VisualAnalogy,2,yes,invalid,0,3432
1020,VisualAnalogy,2,no,valid,0,1410
1020,VisualAnalogy,1,no,valid,1,5560
1020,VisualAnalogy,2,yes,valid,0,1918
1020,VisualAnalogy,1,yes,valid,0,2410
1020,VisualAnalogy,2,yes,invalid,0,2761
1020,VisualAnalogy,1,no,valid,0,6014
1020,VisualAnalogy,1,yes,valid,1,5630
1020,VisualAnalogy,1,no,valid,1,4513
1020,VisualAnalogy,1,yes,valid,0,3171
1020,VisualAnalogy,2,yes,invalid,0,4346
1020,VisualAnalogy,2,yes,valid,0,5084
1020,VisualAnalogy,2,yes,invalid,0,3154
1020,VisualAnalogy,1,yes,invalid,0,1411
1020,VisualAnalogy,2,yes,valid,0,2058
1020,VisualAnalogy,2,yes,invalid,0,4065
1020,VisualAnalogy,1,no,valid,1,6001
1020,VisualAnalogy,2,yes,valid,0,3103
1020,VisualAnalogy,1,yes,valid,1,5561
1020,VisualAnalogy,2,yes,invalid,1,2782
1020,VisualAnalogy,1,no,valid,1,4296
1020,VisualAnalogy,2,yes,invalid,0,4528
1020,VisualAnalogy,1,yes,valid,1,3880
1020,VisualAnalogy,1,yes,valid,0,4349
1020,VisualAnalogy,2,yes,valid,0,3214
1020,VisualAnalogy,2,no,valid,1,1965
